page: 501

^^Table I.—Historical Pitches in order from Lowest to Highest^^—*continued.*

	Cents | a' | Date | Observer | Place and other particulars

6. *Modern Orchestral Pitch, and* ⁎ *Church Pitch Medium*—continued.

	323 | 445·9 | 1849-1854 | E. | London, from Broadwoods' original medium pitch of *c''*530·6, fork of the tuner Finlayson; since 1854 Messrs. Broadwoods use *a'*446·2 as their medium pitch. This pitch was chosen empirically
	„ | 446 | 1859 | Fr. Com | Pesth, opera
	324 | 446·2 | 1856 | Lissajous | Paris, opera and Conservatoire
	„ | „ | 1859 | Fr. Com. | Holland, the Hague at the Conservatoire
	326 | 446·6 | 1845 | Delezenne | Milan, fork lent by Marloye
	327 | 446·8 | 1851 | „ | Lille, festival organ, fork of the tuner Mazingue
	„ | „ | 1878 | E. | Vienna opera, from a fork sent me by the organ-builder, ¶ Ullmann, who had charge of the organ there
	„ | 447·0 | 1859 | Fr. Com. | Marseilles Conservatoire
	328 | 447·3 | 1879 | E. | London, Exeter Hall organ, from a pipe of the makers, Messrs. Walker, see 445·8
	329 | 447·4 | 1856 | Lissajous | Paris, Italian opera, Bodin's fork
	„ | 447·5 | 1878 | Hipkins | London, Covent Garden opera harmonium
	330 | 447·7 | 1877 | E. | Gloucester Festival organ, built by Messrs. Walker; from the fork to which it was tuned at 64° F., the temperature of the pipe being reduced to 59°
	331 | 448 | 1854 | Lissajous | Paris, Grand Opera—also at Lyons and Liège
	„ | „ | 1839-1840 | Schmahl | Hamburg, opera, under Krebs
	„ | 448·1 | 1859 | Fr. Com. | Munich, opera
	332 | 448·2 | 1869 | E. | Leipzig, Gewandhaus Concerts, from fork sent officially to the Society of Arts
	333 | 448·4 | 1857 | Lissajous | Berlin, opera, fork of the conductor Taubert
	„ | „ | 1860 | E. | London, from Cramer's, *c''*533·3, purporting to be the Society of Arts' pitch, intended for *c''*528
	¶ „ | 448·5 | 1880 | Cross & Miller | Boston, Nichol's fork of Germania Orchestra, as corrected to 59°F.
	334 | 448·8 | 1859 | Fr. Com. | Leipzig Conservatoire
	335 | 449 | 1855 | Lissajous | Paris opera, experiments by Lissajous and Ferrand, the first violin
	336 | 449·2 | 1877 | Hipkins | Covent Garden Opera, pitch of the harmonium
	337 | 449·4 | 1860 | E. | London, from Griesbach's *c''*534·5, tuned for the Society of Arts as *c''*528; he tuned *a'* as 445·7
	338 | 449·7 | 1879 | Hipkins | London, Covent Garden opera, taken from organ *a'* during performance
	„ | 449·8 | 1859 | Fr. Com. | Prague, opera
	339 | 449·9 | 1877 | E. | London, from copy of Collard's standard fork
	340 | 450·3 | 1856 | Lissajous | Milan, opera
	„ | 450·5 | 1848 &1854 | Delezenne | Lille, from forks tuned by the oboist Colin, during the performances of *Robert le Diable*, 27 April 1854, between the acts, and carefully verified
	341 | 450·6 | 1877 | E. | Glasgow Public Halls organ, from fork settled by the organist W. T. Best and the late H. Smart, lent me by the builder Lewis
	¶ 342 | 450·9 | 1880 | Cross & Miller | U.S. America, Boston Music Hall, reduced from pipe *c*271·2 at 70° F.
	345 | 451·5 | 1858 | Fr. Com. | Russian opera, from a *c''* fork, probably miscalculated, as the *a'* from Broadwoods' *c''* forks were
	345 | 451·7 | 1874 | E. | Belgian army pitch, reduced from Koenig's 451 vib. by his old standard, and also measured from copy sent by Mahillon. On 19 March 1885 the Belgian Government adopted French pitch, *A*435
	„ | „ | 1867 | Lissajous | Milan, Scala Theatre
	„ | „ | 1880 | Cross & Miller | U.S. America, New York, from Chickering's *c*268·5 standard fork
	346 | 451·9 | 1878 | E. | British Army regulation, from fork lent by Dr. W. H. Stone
	„ | 452 | 1885 | E. | The International Inventions and Music Exhibition of 1885 adopted this as the pitch of all instruments for the Exhibition, being the nearest whole number to the next preceding and next following. The fork was verified by myself
