page: 499

^^Table I.—Historical Pitches in order from Lowest to Highest^^—*continued.*

	Cents | a' | Date | Observer | Place and other particulars

6. *Modern Orchestral Pitch, and* ⁎ *Church Pitch Medium.*

	288 | 437 | 1859 | Fr. Com. | Toulouse, Conservatoire
	289 | 437·1 | 1666 | E. | ⁎Worcester, cathedral organ built by Thomas and Renatus Harris, from a pipe at Mr. T. Hill's
	„ | 437·3 | 1872 | Fischer | Berlin, from a fork furnished by Pichler, who tuned the piano of the opera
	„ | 437·4 | 1854a | Delezenne | Paris, opera, from four forks purchased before 1854, and found to be in unison
	„ | „ | 1744 | Streatfield & E. | ⁎Maidstone, Old Parish Church, built by Jordans, altered, but not in pitch, in 1878 in meantone temperament
	291 | 437·8 | 1862 | E. | Dresden, fork given by the direction of the Court ¶ Theatre to its librarian, Herr Moritz Fürstenau, after the conference on pitch held there, by whom it was lent me to measure, meant for *a'*440
	295 | 438·9 | 1696 | E. | ⁎Boston, England, organ built by Christian Smith, from a pipe preserved by Mr. T. Hill
	297 | 439·4 | — | Delezenne | Lille, old fork formerly belonging to the Marquis d'Aligre
	„ | „ | 1834c | Scheibler | Vienna, opera, fork III.
	„ | „ | 1878 | E. | Dresden, opera pitch at date, from a fork specially prepared for me by the Court organ-builder, Jehmlich, and sent by Herr Moritz Fürstenau, librarian of the theatre
	298 | 439·5 | 1812 | McLeod & E. | Paris, Conservatoire, from copy of a fork preserved there, verified by Cavaillé-Coll
	„ | „ | 1855 | E. | England, Barking, Essex, Parish Church organ (probably originally *a'*474·1), built by Byfield & Green, 1770, after alterations by Messrs. Walker
	299 | 439·9 | 1845 | Delezenne | Turin, fork lent by Marloye
	¶ 300 | 440 | 1829 | Lissajous | Paris, opera orchestra, verified by Monneron for de la Fage
	„ | „ | 1878 | E. | London, Messrs. Gray & Davison's standard pipe
	301 | 440·2 | 1834 | Scheibler | Stuttgart pitch, =440 at 69° F., Lissajous measured it, as 440·3 to French *Diapason Normal*, reckoned as 435, which then when corrected to 435·4 gives 440·7
	„ | „ | 1879 | E. | London, Messrs. Walker & Sons' standard pipe
	„ | 440·3 | 1834c | Scheibler | Vienna Opera, fork IV.
	302 | 440·5 | 1878 | E. | London, Messrs. Bevington's standard pipe
	303 | 440·9 | 1834c | Scheibler | Paris Conservatoire, not trusted so much by Scheibler as 435·2
	304 | 441·0 | 1836-1839 | Delezenne | Paris Opera, fork of M. Leibner, who kept the pianos to pitch of orchestra, verified by Meyerbeer
	„ | „ | 1836 | Cagniard de la Tour | Paris, Opéra Comique
	„ | „ | 1859 | Fr. Com. | Dresden, fork sent to Fr. Com. by the Kapellmeister Reissiger
	¶ „ | „ | 1879 | E. | London, church organ pitch of Messrs. Lewis & Co.
	„ | 441·10 | 1834 | Scheibler | Vienna Opera, fork V., given by Prof. Blahetka as trustworthy; in 1879 this fork was found and lent to me, and then from rust and ill-treatment measured only 439·9, the greatest loss of pitch I have found in any fork
	305 | 441·2 | 1878 | E. | London, Covent Garden Opera, fork for Messrs. Bryceson to tune the organ to
	„ | 441·3 | 1842 | E. | London, the equal *a'* corresponding to the late Dr. John Hullah's standard fork, *c''*524·8, purporting to be *c''*512; J. H. Griesbach measured it as 521·6
	307 | 441·7 | 1690 | E. | Hampton Court Palace, Bernhardt Schmidt's organ from an original pipe, 12 inches long and 1·2 inch in diameter, giving *b'*♭472·6
	„ | „ | 1660 | E. | Whitehall, Chapel Royal, organ by Bernhardt Schmidt, according to indications by Mr. T. Hill
	„ | „ | 1878 | E. | London, standard pipe of Messrs. Hill and Sons, from *c''*525·3
